date,track,artist
2019-01-05,Thank U  Next,Ariana Grande
2019-01-05,Without Me,Halsey
2019-01-05,All I Want For Christmas Is You,Mariah Carey
2019-01-05,Sicko Mode,Travis Scott
2019-01-05,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee
2019-01-05,High Hopes,Panic  At The Disco
2019-01-05,Happier,Marshmello   Bastille
2019-01-05,Jingle Bell Rock,Bobby Helms
2019-01-05,Rockin  Around The Christmas Tree,Brenda Lee
2019-01-05,A Holly Jolly Christmas,Burl Ives
2019-01-05,The Christmas Song  Merry Christmas To You,Nat King Cole
2019-01-05,Drip Too Hard,Lil Baby   Gunna
2019-01-05,It s The Most Wonderful Time Of The Year,Andy Williams
2019-01-05,Girls Like You,Maroon 5  Cardi B
2019-01-05,ZEZE,Kodak Black  Travis Scott   Offset
2019-01-05,Rudolph The Red-Nosed Reindeer,Gene Autry
2019-01-05,Mo Bamba,Sheck Wes
2019-01-05,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black
2019-01-05,Money,Cardi B
2019-01-05,Let It Snow  Let It Snow  Let It Snow,Dean Martin
2019-01-05,Eastside,Benny Blanco  Halsey   Khalid
2019-01-05,Breathin,Ariana Grande
2019-01-05,Better Now,Post Malone
2019-01-05,Youngblood,5 Seconds Of Summer
2019-01-05,Last Christmas,Wham
2019-01-05,Sleigh Ride,The Ronettes
2019-01-05,Lucid Dreams,Juice WRLD
2019-01-05,Here Comes Santa Claus  Right Down Santa Claus Lane,Gene Autry
2019-01-05,Feliz Navidad,Jose Feliciano
2019-01-05,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B
2019-01-05,MIA,Bad Bunny  Drake
2019-01-05,There s No Place Like  Home For The Holidays,Perry Como
2019-01-05,Leave Me Alone,Flipp Dinero
2019-01-05,White Christmas,Bing Crosby
2019-01-05,It s Beginning To Look A Lot Like Christmas,Perry Como and The Fontane Sisters With Mitchell Ayres and His Orchestra
2019-01-05,Going Bad,Meek Mill  Drake
2019-01-05,A Lot,21 Savage
2019-01-05,Trip,Ella Mai
2019-01-05,I Like It,Cardi B  Bad Bunny   J Balvin
2019-01-05,Blue Christmas,Elvis Presley
2019-01-05,Speechless,Dan   Shay
2019-01-05,Happy Xmas  War Is Over,John   Yoko   Plastic Ono Band With The Harlem Community Choirg
2019-01-05,Christmas  Baby Please Come Home,Darlene Love
2019-01-05,Underneath The Tree,Kelly Clarkson
2019-01-05,Run Rudolph Run,Chuck Berry
2019-01-05,Natural,Imagine Dragons
